runtime,1 card in a Pack,6 cards in a Pack
1662,3383,3198
1663,2046,2310
1664,2559,2376
1665,1996,2268
1666,2444,2928
1667,2587,2976
1668,2017,1878
1669,2054,2508
1670,2457,2916
1671,3146,2436
1672,2268,2400
1673,2382,2916
1674,1906,2046
1675,2104,2832
1676,2413,2358
1677,2676,2646
1678,2523,3696
1679,2679,2388
1680,3207,2076
1681,2292,2370
1682,2807,2334
1683,3126,2886
1684,2852,2406
1685,4094,1956
1686,2688,2100
1687,2266,2106
1688,2787,2442
1689,2697,2778
1690,2726,2274
1691,2897,2520
1692,2450,2220
1693,2953,2664
1694,3399,3714
1695,4136,3408
1696,3582,2580
1697,2320,2244
1698,2594,2130
1699,3853,2178
1700,2810,3186
1701,3527,2274
1702,3769,2352
1703,2352,3648
1704,2713,2430
1705,3400,2286
1706,2938,3402
1707,2924,3606
1708,2867,2676
1709,2175,2976
1710,2195,2358
1711,3074,2670
1712,2306,3384
1713,2347,2616
1714,2181,2346
1715,2320,3270
1716,2574,1956
1717,2226,2214
1718,1905,2028
1719,2149,2226
1720,2269,2424
1721,3328,3084
1722,2690,3504
1723,3546,2334
1724,1787,4440
1725,1899,3804
1726,3595,4038
1727,2049,2040
1728,2556,2340
1729,2916,2106
1730,2370,2262
1731,2142,2142
1732,2940,2736
1733,2682,3108
1734,2182,2202
1735,2691,2340
1736,2709,2070
1737,3081,1830
1738,2623,2082
1739,2057,2814
1740,2500,2094
1741,2659,1974
1742,2553,2964
1743,2258,2106
1744,3160,2268
1745,2312,3114
1746,2357,2004
1747,2414,2742
1748,2453,2622
1749,2985,3498
1750,2021,3384
1751,2474,2838
1752,3749,2886
1753,2622,2640
1754,1920,2376
1755,2484,3498
1756,2391,2568
1757,2835,2016
1758,2682,2388
1759,2394,2274
1760,3229,3414
1761,3201,2184
1762,2081,2940
1763,2056,2640
1764,2911,1992
1765,2076,2508
1766,3172,2874
1767,2702,2808
1768,2818,2250
1769,3062,1932
1770,3306,1842
1771,2350,3906
1772,2423,3006
1773,2407,2580
1774,2414,2724
1775,2555,2916
1776,3053,1908
1777,3640,2298
1778,2806,2964
1779,2100,1920
1780,2153,2082
1781,2257,2160
1782,2396,2052
1783,3167,2832
1784,2422,2328
1785,3177,4116
1786,4197,2256
1787,2341,2322
1788,2091,2322
1789,2950,2520
1790,2124,2724
1791,2250,2220
1792,3234,2580
1793,2337,2340
1794,2430,1962
1795,2393,2130
1796,3313,2574
1797,2475,2592
1798,2028,3288
1799,2602,2280
1800,3147,2166
1801,2825,3816
1802,2709,2118
1803,2656,2274
1804,2667,2976
1805,2464,2322
1806,2064,2346
1807,2471,2520
1808,2055,2712
1809,2141,2220
1810,2586,3096
1811,2452,3894
1812,2476,2760
1813,2764,2496
1814,2692,2670
1815,2734,3246
1816,1977,2448
1817,3039,1860
1818,2704,4428
1819,2983,2628
1820,2723,2166
1821,2650,2592
1822,2867,2370
1823,2472,2484
1824,2388,2484
1825,2037,2550
1826,2908,1992
1827,2563,2304
1828,3472,2406
1829,2490,2544
1830,3930,2634
1831,2763,3288
1832,2418,2424
1833,2386,2682
1834,2138,1884
1835,2652,2058
1836,2126,2418
1837,3235,3126
1838,3243,2106
1839,3727,2226
1840,1869,2634
1841,2096,1938
1842,3148,2562
1843,2447,2652
1844,2861,2472
1845,2754,2406
1846,2294,3348
1847,3024,3174
1848,3048,2916
1849,2589,2754
1850,2928,2436
1851,3506,2748
1852,3213,2598
1853,2409,2310
1854,2840,2208
1855,3182,2148
1856,1713,2568
1857,2719,2646
1858,2302,3036
1859,2615,3144
1860,2264,5394
1861,2720,2814
1862,2199,2166
1863,3379,3678
1864,3736,2952
1865,2262,1980
1866,2723,2448
1867,1953,4800
1868,2770,2208
1869,2243,2418
1870,3525,2502
1871,2287,2718
1872,3080,3036
1873,2598,2772
1874,2977,2460
1875,2714,1728
1876,3114,3240
1877,2583,2640
1878,2180,2904
1879,2481,2502
1880,2093,2544
1881,2407,2214
1882,2000,2874
1883,2906,2814
1884,2276,2580
1885,2423,2652
1886,2341,2532
1887,2958,2532
1888,2107,2064
1889,2179,2856
1890,1907,1992
1891,2509,3036
1892,2273,2274
1893,3053,2682
1894,2839,2844
1895,2979,3174
1896,2162,2562
1897,3487,2196
1898,2523,2436
1899,2149,2640
1900,3215,2178
1901,2525,2958
1902,1976,2916
1903,3544,2544
1904,3125,2790
1905,2357,2628
1906,3879,2442
1907,3897,2802
1908,2642,2712
1909,2162,3126
1910,1919,3150
1911,2192,2094
1912,3868,2928
1913,2195,2310
1914,2936,3810
1915,3400,2910
1916,2759,4644
1917,2436,2424
1918,1985,2850
1919,2155,2610
1920,2003,2274
1921,2691,3054
1922,2171,2052
1923,2146,2154
1924,3277,2736
1925,2147,2592
1926,2520,2610
1927,1915,2064
1928,2045,2724
1929,2421,2778
1930,2030,2646
1931,3996,2868
1932,2872,2424
1933,2689,2934
1934,2247,2184
1935,2345,2802
1936,1981,2022
1937,2423,2328
1938,3361,2046
1939,2730,2298
1940,3745,2118
1941,2111,2430
1942,2757,1914
1943,2973,2802
1944,3018,1932
1945,4118,3876
1946,2400,2244
1947,2118,2262
1948,2042,2598
1949,2265,2790
1950,2221,1812
1951,2489,2634
1952,3005,2250
1953,4032,2238
1954,3384,2286
1955,1845,2274
1956,2478,2214
1957,2719,2412
1958,2456,2748
1959,2690,2622
1960,2657,2592
1961,2397,2790
1962,3068,3108
1963,2916,2388
1964,2663,3282
1965,2360,2280
1966,2812,2526
1967,2550,2862
1968,2534,2340
1969,3197,2328
1970,3522,2568
1971,2513,2916
1972,2397,3696
1973,2427,2454
1974,2159,3036
1975,3026,1920
1976,2005,2106
1977,2883,2760
1978,2810,2628
1979,3305,3174
1980,2048,2034
1981,4271,2568
1982,2322,3180
1983,3009,3252
1984,2670,2754
1985,2291,1830
1986,2330,2286
1987,2939,2514
1988,2502,2562
1989,2453,2844
1990,2330,2418
1991,1996,2844
1992,2102,2616
1993,3529,1950
1994,2429,2922
1995,2397,2478
1996,1797,2388
1997,2678,2352
1998,2945,3582
1999,2326,2640
2000,2830,1998
2001,3111,2706
2002,2531,2490
2003,2381,2250
2004,2291,2154
2005,3290,2916
2006,3085,2754
2007,2642,1992
2008,2653,2196
2009,2310,2256
2010,2445,2484
2011,2317,2226
2012,2207,2406
2013,2896,1968
2014,2358,1962
2015,2163,2496
2016,2224,2526
2017,2141,3030
2018,2386,2292
2019,2302,2778
2020,3765,2856
2021,2421,2280
2022,2213,2802
2023,2314,2172
2024,3533,2274
2025,2098,2172
2026,2574,2004
2027,2305,2394
2028,2757,2802
2029,2223,1854
2030,2658,3180
2031,1972,2586
2032,3036,2928
2033,2633,1878
2034,3162,2550
2035,2006,2412
2036,2957,2556
2037,1888,2412
2038,3354,2586
2039,2682,2112
2040,2340,3132
2041,2412,1818
2042,2704,2442
2043,2169,2556
2044,2665,2778
2045,3264,2508
2046,2551,2388
2047,2690,3312
2048,2483,2016
2049,2261,2010
2050,2961,3282
2051,2013,1878
2052,2216,2088
2053,3517,3234
2054,3977,2712
2055,2415,2316
2056,2892,3192
2057,2053,2490
2058,2000,2694
2059,2366,3138
2060,2504,2232
2061,2410,2592
2062,2236,1998
2063,2539,3570
2064,2098,2304
2065,2008,3138
2066,3676,2310
2067,2672,2766
2068,2538,2814
2069,2897,2490
2070,2711,3078
2071,3054,2646
2072,2397,1896
2073,2481,2910
2074,3027,2514
2075,2580,2214
2076,2983,2112
2077,3202,2718
2078,2588,2664
2079,3291,3096
2080,2295,2286
2081,2464,2058
2082,2592,1806
2083,2588,2412
2084,2155,3168
2085,2851,2724
2086,1834,2184
2087,3046,3492
2088,2600,2982
2089,2763,1920
2090,2353,2982
2091,1818,2268
2092,3665,1854
2093,2631,2658
2094,2440,4260
2095,2311,2418
2096,2941,2466
2097,2943,3084
2098,2533,2556
2099,2104,2172
2100,2129,1980
2101,2785,2010
2102,2841,2544
2103,2094,2244
2104,3380,2100
2105,2492,2808
2106,2106,2970
2107,2520,2838
2108,3644,2442
2109,3181,2424
2110,2443,1968
2111,2742,1974
2112,2513,3012
2113,2766,2298
2114,2230,2466
2115,1918,3516
2116,2015,2844
2117,3733,3000
2118,3913,2934
2119,3142,2526
2120,2217,2148
2121,4168,2088
2122,2143,2412
2123,2437,2628
2124,1961,2712
2125,3345,2154
2126,2200,2472
2127,3096,3852
2128,2131,2316
2129,2280,2346
2130,2611,1908
2131,2526,2508
2132,2304,2766
2133,2048,3960
2134,2368,2766
2135,2063,2100
2136,3400,1704
2137,3762,3540
2138,1976,3276
2139,2474,2304
2140,2795,2652
2141,1984,2286
2142,3596,2184
2143,2990,2736
2144,2469,1740
2145,2307,2490
2146,2446,2688
2147,2421,2220
2148,2199,3096
2149,2278,2604
2150,1735,3774
2151,2461,2610
2152,3581,2394
2153,4643,1770
2154,2581,2688
2155,3151,2310
2156,3050,2550
2157,2845,2256
2158,3116,2148
2159,2801,2934
2160,2350,1998
2161,1931,3498
2162,3289,3840
2163,2985,2892
2164,2687,2328
2165,2544,2166
2166,2994,2922
2167,2431,2214
2168,2336,2460
2169,2875,2490
2170,2763,2028
2171,2556,2220
2172,2246,2334
2173,2345,4314
2174,2284,3042
2175,3944,2154
2176,2360,3162
2177,2846,2760
2178,3041,2622
2179,2045,3876
2180,2781,2910
2181,2723,2760
2182,2264,2802
2183,2728,2256
2184,2457,2148
2185,4346,2880
2186,3363,2394
2187,3256,2310
2188,2706,3102
2189,2350,2886
2190,3531,2934
2191,2708,2082
2192,2688,2460
2193,2134,3270
2194,3376,2568
2195,3596,3426
2196,2925,2862
2197,2552,2556
2198,2687,1932
2199,1795,3558
2200,1880,2856
2201,2995,2982
2202,2482,2970
2203,3215,3264
2204,3423,1872
2205,2066,3240
2206,3422,2556
2207,2530,2976
2208,2625,1842
2209,2752,2292
2210,3692,2316
2211,2973,1932
2212,2126,2592
2213,2494,2388
2214,2536,1872
2215,3485,2082
2216,2539,2184
2217,1942,2856
2218,2683,2430
2219,2078,2724
2220,2465,2964
2221,2342,2136
2222,2855,2094
2223,4178,3180
2224,2583,2694
2225,2384,2670
2226,3610,2634
2227,2912,2196
2228,2474,2886
2229,4480,2448
2230,1887,2304
2231,2360,2178
2232,2721,2466
2233,2467,2052
2234,3442,3138
2235,2046,3258
2236,3061,2196
2237,1858,2400
2238,2371,2238
2239,2654,2622
2240,5118,3126
2241,2129,2448
2242,2035,2628
2243,2711,2418
2244,1981,1902
2245,2291,2298
2246,2570,2286
2247,2698,2760
2248,2584,2880
2249,2071,2202
2250,3220,1812
2251,3414,2928
2252,3965,2394
2253,3373,2562
2254,2400,2070
2255,2620,1974
2256,2175,2862
2257,2828,3510
2258,2143,2586
2259,3571,2070
2260,2510,2418
2261,2666,2556
2262,2251,3414
2263,2786,1896
2264,3085,2838
2265,3070,3120
2266,2004,2484
2267,3231,2442
2268,1874,2622
2269,2730,2130
2270,2065,2424
2271,2526,2622
2272,1987,2028
2273,2259,2298
2274,2594,4008
2275,2244,2328
2276,2510,2112
2277,2172,3042
2278,3421,2514
2279,3624,3006
2280,2046,2994
2281,2597,2028
2282,3387,2538
2283,2400,2148
2284,2712,2550
2285,2508,3978
2286,2089,3960
2287,4010,3738
2288,2371,2838
2289,2725,2568
2290,2533,2346
2291,3297,2052
2292,3483,3234
2293,2568,2238
2294,2289,2358
2295,2425,2712
2296,3562,3102
2297,2290,2742
2298,2187,2256
2299,2049,2082
2300,1672,2640
2301,2865,3930
2302,2769,2892
2303,2188,2274
2304,2409,2022
2305,2156,3456
2306,2861,1860
2307,2167,2364
2308,2428,3618
2309,3463,2418
2310,2992,3036
2311,2751,3180
2312,2604,3078
2313,3584,2352
2314,2585,2394
2315,2113,2880
2316,2613,1866
2317,3133,2586
2318,2374,2034
2319,2325,2208
2320,2857,3228
2321,3752,2832
2322,3193,1962
2323,3620,2112
2324,2315,2274
2325,2385,3108
2326,2792,2760
2327,2749,2478
2328,2425,2754
2329,2598,2064
2330,3202,2310
2331,2195,2874
2332,3090,2484
2333,2624,2052
2334,2447,2436
2335,2308,2718
2336,2394,2334
2337,2358,3084
2338,2671,2112
2339,2151,2382
2340,1768,2946
2341,2464,2844
2342,3040,2172
2343,3090,2754
2344,2807,2520
2345,2307,2682
2346,2858,2352
2347,3201,3306
2348,3991,2838
2349,2932,2520
2350,2028,2028
2351,2017,2388
2352,2079,3678
2353,2064,2808
2354,2438,2154
2355,2596,2136
2356,3044,1890
2357,2563,2262
2358,2816,3318
2359,2632,3474
2360,2222,2760
2361,2202,2484
2362,2988,2844
2363,2842,2478
2364,3045,2742
2365,2386,2268
2366,2366,3144
2367,2039,2472
2368,3030,2694
2369,2489,2412
2370,3145,2076
2371,2257,3234
2372,2709,2082
2373,2973,1950
2374,2658,2160
2375,3378,2688
2376,2395,2106
2377,2428,2790
2378,2757,3018
2379,2423,2202
2380,3216,3726
2381,2589,2208
2382,2650,2244
2383,2049,2478
2384,2272,3126
2385,3316,1854
2386,2869,3516
2387,3040,2778
2388,2745,2532
2389,2694,2148
2390,2613,2712
2391,4230,2160
2392,2389,3300
2393,2846,3084
2394,1848,2616
2395,2905,2658
2396,2933,2898
2397,2212,1680
2398,2146,3240
2399,2270,4212
2400,2930,2322
2401,2026,2574
2402,3110,3462
2403,2480,2922
2404,2015,1812
2405,1965,2346
2406,2591,2802
2407,3619,3522
2408,2256,2742
2409,3020,3276
2410,3589,3174
2411,2198,2046
2412,2618,2292
2413,2289,3402
2414,2390,2736
2415,3522,2538
2416,1942,3612
2417,2705,2958
2418,2591,2712
2419,2407,2274
2420,3371,2184
2421,2678,2256
2422,3197,3558
2423,2391,2328
2424,2647,2814
2425,2033,2472
2426,2014,3498
2427,2514,2724
2428,2356,2826
2429,2458,2172
2430,4270,2118
2431,2328,2646
2432,2454,2742
2433,5256,2508
2434,2164,2274
2435,4074,2202
2436,2215,2070
2437,4167,2838
2438,2791,3264
2439,2121,2106
2440,3312,2718
2441,2955,2022
2442,3118,3138
2443,2707,2628
2444,3880,3192
2445,2839,2820
2446,2692,2676
2447,2991,2862
2448,3884,2814
2449,2389,2574
2450,3450,2916
2451,2035,1776
2452,2223,2106
2453,2307,2586
2454,2521,2880
2455,3448,2154
2456,3120,2466
2457,2878,2850
2458,2442,3102
2459,3136,2340
2460,2813,2172
2461,3520,2730
2462,2796,3240
2463,1966,2094
2464,2235,2250
2465,3483,2238
2466,2662,2358
2467,2319,2466
2468,1901,2214
2469,2478,1800
2470,2376,3222
2471,3290,3570
2472,2842,3876
2473,2979,1602
2474,2612,2316
2475,3566,2430
2476,3192,2118
2477,2251,2526
2478,3111,2178
2479,2893,2598
2480,2665,2670
2481,2729,2136
2482,2475,2940
2483,2676,2460
2484,2893,2196
2485,3406,2196
2486,3000,2664
2487,2960,3396
2488,1745,2526
2489,2496,2922
2490,2940,2646
2491,2388,2022
2492,1996,3186
2493,2277,1992
2494,3151,1746
2495,1958,3504
2496,2616,2088
2497,2346,2820
2498,2369,2238
2499,1934,2544
2500,2721,2736
2501,2416,2070
2502,4472,2652
2503,2496,2436
2504,2521,2178
2505,2910,3186
2506,2502,1950
2507,2585,2484
2508,2010,2856
2509,2133,2022
2510,2673,2298
2511,3074,2946
2512,2583,1920
2513,2521,2148
2514,3476,2472
2515,2383,2580
2516,3039,3504
2517,2099,3120
2518,2925,2796
2519,2520,2796
2520,2145,2694
2521,3156,2100
2522,2450,2784
2523,3674,2352
2524,2583,2184
2525,3138,2616
2526,3248,1806
2527,1883,2244
2528,2792,2178
2529,2396,2646
2530,2232,1830
2531,3694,2424
2532,2226,2244
2533,2807,2676
2534,2662,2772
2535,2278,2838
2536,4348,2832
2537,3094,2196
2538,2233,3354
2539,3144,3372
2540,2810,2538
2541,3068,2592
2542,3106,2904
2543,2682,2022
2544,2112,2064
2545,2190,2604
2546,2548,3540
2547,2140,2604
2548,2540,2400
2549,1902,2274
2550,2628,2592
2551,2142,2574
2552,2998,3822
2553,2307,2490
2554,2087,1956
2555,2278,2544
2556,3215,2172
2557,2506,2982
2558,3245,3774
2559,2748,3060
2560,3785,2628
2561,2317,2850
2562,2047,2760
2563,3362,2394
2564,2179,2100
2565,2010,4392
2566,2782,2862
2567,3011,2964
2568,2984,2766
2569,2246,2718
2570,2448,2454
2571,2127,2130
2572,2904,2388
2573,3121,3666
2574,2082,2856
2575,2852,2910
2576,1983,2298
2577,3225,2208
2578,2390,3096
2579,2517,2544
2580,3055,2478
2581,2405,2424
2582,2334,2466
2583,2351,2574
2584,2376,1992
2585,2517,2982
2586,2296,2130
2587,1792,2592
2588,2918,2154
2589,2422,3036
2590,2265,2490
2591,2251,2010
2592,2590,3024
2593,2390,3642
2594,2378,2154
2595,2452,2670
2596,3132,2478
2597,2827,2130
2598,2012,2364
2599,3909,2376
2600,2096,2754
2601,2858,2124
2602,2954,2574
2603,1829,2940
2604,2709,2478
2605,3403,2634
2606,2927,3126
2607,2243,3876
2608,2919,2562
2609,2735,2598
2610,2704,2328
2611,2946,4890
2612,2702,2442
2613,3213,2094
2614,2930,2472
2615,2948,2442
2616,2273,2148
2617,2526,3258
2618,2366,2760
2619,3304,2286
2620,2484,2394
2621,2645,2664
2622,3198,2544
2623,2821,2910
2624,2679,2856
2625,2318,2460
2626,3661,2598
2627,2135,2562
2628,2158,3330
2629,2629,2442
2630,2307,2424
2631,3177,2184
2632,3648,2220
2633,2159,2700
2634,2220,3354
2635,2570,2982
2636,3106,2712
2637,2283,3072
2638,2365,2622
2639,2581,2202
2640,2660,2460
2641,2894,2514
2642,3405,3126
2643,2365,2718
2644,2291,2196
2645,2173,2874
2646,3244,3054
2647,2161,2508
2648,2392,2112
2649,2072,2814
2650,2010,2688
2651,3480,2838
2652,2827,2484
2653,3071,3132
2654,2114,2634
2655,3018,1818
2656,2472,2034
2657,2226,3486
2658,2451,2064
2659,3154,2388
2660,2353,2478
2661,3054,2322
2662,2411,3270
2663,3851,3420
2664,2866,2640
2665,2141,3276
2666,3114,2670
2667,2500,3210
2668,2554,2508
2669,2515,2250
2670,2318,3078
2671,2942,3348
2672,1982,2598
2673,2608,1956
2674,2602,2688
2675,2359,2082
2676,2433,2814
2677,5049,2178
2678,2165,2580
2679,2239,2106
2680,3179,1950
2681,2400,2478
2682,2511,2148
2683,1892,3402
2684,2108,2526
2685,2762,2310
2686,2266,1950
2687,2768,2856
2688,3784,2232
2689,3173,3534
2690,2314,3486
2691,2529,3510
2692,2261,2268
2693,4224,2652
2694,2260,2682
2695,2260,3618
2696,2480,1956
2697,2955,3642
2698,2100,2826
2699,2857,2340
2700,3171,2316
2701,2088,1764
2702,3211,2484
2703,3098,2610
2704,2521,2436
2705,2524,2334
2706,2653,1896
2707,2638,2058
2708,1959,2562
2709,2741,2028
2710,3212,2112
2711,3725,2646
2712,2405,3006
2713,2201,2460
2714,2527,2988
2715,2747,3558
2716,2369,1722
2717,2179,2418
2718,2684,2220
2719,2897,2532
2720,2534,2010
2721,2116,2844
2722,4034,2910
2723,2505,2772
2724,3255,2382
2725,2254,2856
2726,2364,2466
2727,2170,2028
2728,2273,2778
2729,2736,3204
2730,2146,3480
2731,2842,2616
2732,3079,2424
2733,2487,2526
2734,2931,2178
2735,2328,2496
2736,2618,2220
2737,2751,2868
2738,3952,2226
2739,2441,1608
2740,3140,2646
2741,2540,2946
2742,2407,3204
2743,2752,3258
2744,2734,2988
2745,2290,2340
2746,2175,2202
2747,3915,2082
2748,2472,2160
2749,2457,2082
2750,1650,2376
2751,3205,2814
2752,2131,2592
2753,2682,2256
2754,2822,2394
2755,3175,3126
2756,2055,2580
2757,2656,2436
2758,2125,1932
2759,2140,2442
2760,2927,2112
2761,2866,3210
2762,2338,2166
2763,3681,2016
2764,2673,2538
2765,2240,2562
2766,1963,2868
2767,2130,2142
2768,2688,2100
2769,2166,2580
2770,2338,2016
2771,3827,3168
2772,3402,2136
2773,3258,2448
2774,3327,2700
2775,2709,2508
2776,2505,2184
2777,2476,2142
2778,3062,2238
2779,2177,2052
2780,2436,3528
2781,3064,2364
2782,3077,2118
2783,2719,2820
2784,2347,2196
2785,3698,3750
2786,2161,3282
2787,2193,2508
2788,3126,2850
2789,2159,2382
2790,2174,2556
2791,1995,2718
2792,2547,2544
2793,2413,2130
2794,2446,2406
2795,2415,3270
2796,2445,2856
2797,2151,1830
2798,2967,2040
2799,1702,2508
2800,2639,2394
2801,2439,3066
2802,2298,2766
2803,2490,2220
2804,2530,2490
2805,2241,3186
2806,2423,2376
2807,2263,2004
2808,3481,2190
2809,3134,4392
2810,2534,2184
2811,3135,2412
2812,2946,2190
2813,2284,2112
2814,2306,3504
2815,2336,2358
2816,2121,4080
2817,4166,3018
2818,2669,2580
2819,2123,2010
2820,2718,3618
2821,2198,2724
2822,2343,3150
2823,2603,2196
2824,2405,2502
2825,2397,2352
2826,2792,2262
2827,2344,2106
2828,2699,1860
2829,2686,2706
2830,1985,2484
2831,2603,2664
2832,2481,2220
2833,2957,2058
2834,2290,2136
2835,3125,2682
2836,3117,2424
2837,2242,2898
2838,2363,3306
2839,2615,2646
2840,2092,2562
2841,1973,2934
2842,3286,2058
2843,2924,2352
2844,2388,2394
2845,2483,3420
2846,2583,2310
2847,2516,2910
2848,2813,2286
2849,3428,3336
2850,2837,2604
2851,2338,2442
2852,2671,3672
2853,2564,2322
2854,2870,2472
2855,1807,2106
2856,1940,2394
2857,3188,3336
2858,2641,2886
2859,2485,2088
2860,2800,1896
2861,2136,2634
2862,2457,2484
2863,2990,2496
2864,2374,2514
2865,2934,2862
2866,2133,2568
2867,2594,3066
2868,2033,2538
2869,2722,2214
2870,2058,2598
2871,1693,2832
2872,2340,2088
2873,2525,2532
2874,2345,2784
2875,2175,3012
2876,3317,3456
2877,2306,2388
2878,1966,2160
2879,2969,2058
2880,2373,2118
2881,2958,2580
2882,2950,3468
2883,2252,3162
2884,1989,2646
2885,2129,1986
2886,2034,2478
2887,3974,2166
2888,2032,3486
2889,4437,2232
2890,1985,2310
2891,3072,4014
2892,3078,2844
2893,2230,2472
2894,2792,2814
2895,2626,2904
2896,3148,1812
2897,2988,2004
2898,2252,2112
2899,2413,2934
2900,1806,2868
2901,1893,2532
2902,2627,2322
2903,2187,2262
2904,1863,2346
2905,2805,2244
2906,3144,2694
2907,2513,2376
2908,2974,2166
2909,2523,2430
2910,2358,2010
2911,2435,2364
2912,1937,2676
2913,2443,2928
2914,2968,1782
2915,2532,3054
2916,2421,2166
2917,2906,2136
2918,2834,2070
2919,2039,2886
2920,2121,2118
2921,2245,2406
2922,2389,3594
2923,3062,2532
2924,2169,2568
2925,2459,2526
2926,2607,2844
2927,2889,2484
2928,2713,2142
2929,2725,2928
2930,2208,3576
2931,2215,2808
2932,2877,2556
2933,2823,3834
2934,2496,2826
2935,3074,2274
2936,2543,2550
2937,2837,2730
2938,3140,2292
2939,4203,2256
2940,1797,2064
2941,2197,2778
2942,2674,2604
2943,2553,2538
2944,2919,2490
2945,2687,3144
2946,2610,2010
2947,2518,3174
2948,3357,2370
2949,2944,2280
2950,2068,2694
2951,2095,2508
2952,2231,2790
2953,3038,2448
2954,3221,2604
2955,2388,2004
2956,2515,2778
2957,1970,2478
2958,2013,3498
2959,2351,2118
2960,2081,3018
2961,3514,2316
2962,2243,2520
2963,1971,2820
2964,2756,1704
2965,2603,2226
2966,2297,3288
2967,2014,2664
2968,2722,3072
2969,2214,2412
2970,2108,2964
2971,2009,2568
2972,2554,2322
2973,2092,1836
2974,2393,2772
2975,2282,3258
2976,2335,2820
2977,3513,2610
2978,2684,3390
2979,2429,2256
2980,2082,2262
2981,2468,2676
2982,2551,2364
2983,2614,2184
2984,2889,2520
2985,2851,2280
2986,2377,2634
2987,2310,2430
2988,3190,2472
2989,2313,2754
2990,3543,2058
2991,2485,2376
2992,3314,3420
2993,3270,3450
2994,2575,2922
2995,2787,2358
2996,2252,3006
2997,2036,2508
2998,3125,3762
2999,2829,3312
3000,2353,2130
3001,2901,2250
3002,2424,2532
3003,2020,2448
3004,3139,3096
3005,2163,2106
3006,2321,2682
3007,2135,2286
3008,2752,2736
3009,2721,2136
3010,1985,3252
3011,2519,2328
3012,2136,2508
3013,1848,2058
3014,3371,2166
3015,2633,2022
3016,2590,1710
3017,3356,2862
3018,2872,2748
3019,2336,2766
3020,2317,2214
3021,2493,2496
3022,2957,2466
3023,2538,3114
3024,2722,2946
3025,2530,2286
3026,2728,2316
3027,2751,2130
3028,1733,3366
3029,2024,2394
3030,3650,2490
3031,3209,2622
3032,2315,3108
3033,2112,2442
3034,2475,3054
3035,2494,2910
3036,2927,2868
3037,2617,2028
3038,2338,3024
3039,2099,3132
3040,3038,1938
3041,1867,1890
3042,2657,2994
3043,2642,2334
3044,2426,3432
3045,2335,2874
3046,2187,2652
3047,2818,1908
3048,2620,2682
3049,2430,2724
3050,2778,3402
3051,3012,2166
3052,2509,3876
3053,2901,2364
3054,2154,2610
3055,1854,2382
3056,2860,3966
3057,2161,2250
3058,2600,3240
3059,2073,3714
3060,2272,3030
3061,2184,2442
3062,2378,2070
3063,1930,3888
3064,4577,2826
3065,4223,4056
3066,2280,2394
3067,2481,2634
3068,2466,3228
3069,2710,2238
3070,1866,1746
3071,3502,2718
3072,2456,2262
3073,2293,2838
3074,3372,2130
3075,3157,2892
3076,2703,2382
3077,2537,3198
3078,2494,3084
3079,3624,2016
3080,1866,2538
3081,2041,2646
3082,3069,2034
3083,2851,2436
3084,3049,2334
3085,3247,3378
3086,2689,2928
3087,2508,2406
3088,2347,3294
3089,2145,2256
3090,2563,4560
3091,2281,3252
3092,2440,2526
3093,2948,2550
3094,2371,2304
3095,2255,2244
3096,2189,2160
3097,2589,1728
3098,2462,2364
3099,2708,3060
3100,3238,3348
3101,3285,3504
3102,2072,2226
3103,2529,2610
3104,2014,2394
3105,1863,2160
3106,2383,3156
3107,2605,3132
3108,2139,2820
3109,2360,2274
3110,2662,3036
3111,2961,2340
3112,2338,2238
3113,3026,3330
3114,2910,2430
3115,4577,2460
3116,2042,2604
3117,2243,2178
3118,2702,1782
3119,2297,2154
3120,3718,2424
3121,2708,1764
3122,3569,2772
3123,3300,2844
3124,2597,2874
3125,2894,2376
3126,2429,3528
3127,3045,2016
3128,3694,3252
3129,2609,2058
3130,1763,2604
3131,2193,3006
3132,2573,3876
3133,2406,2442
3134,4531,2508
3135,1812,2352
3136,1864,2496
3137,2240,3216
3138,2462,2916
3139,2896,1998
3140,2647,2490
3141,4871,2634
3142,2168,3654
3143,3609,3228
3144,2496,3348
3145,2695,2490
3146,2458,2598
3147,2995,2664
3148,2117,2436
3149,2634,2598
3150,2685,2298
3151,2112,1920
3152,2596,2412
3153,2652,2748
3154,2562,1752
3155,2234,2490
3156,2267,1638
3157,2952,2694
3158,2038,3006
3159,2974,2100
3160,2800,2616
3161,1907,2508
3162,3294,2622
3163,2225,2880
3164,1881,3258
3165,2219,2232
3166,2416,2916
3167,2727,2460
3168,2628,2754
3169,2667,2574
3170,2259,3486
3171,2209,3156
3172,2945,2952
3173,2318,3006
3174,3038,2196
3175,3317,2280
3176,2718,2700
3177,2335,2760
3178,2642,3492
3179,2079,2814
3180,2739,3588
3181,2420,2466
3182,2666,2550
3183,2698,2178
3184,2208,2748
3185,2568,1974
3186,2160,2352
3187,3773,2226
3188,2565,2898
3189,2286,2160
3190,2576,2328
3191,3158,2448
3192,2574,2112
3193,3352,2232
3194,2336,2130
3195,2462,2502
3196,2146,3894
3197,2088,3006
3198,3776,2124
3199,2200,2010
3200,2281,2160
3201,2205,2184
3202,2426,1872
3203,2355,2904
3204,2489,3984
3205,2669,2598
3206,2766,2070
3207,1930,2424
3208,2453,2574
3209,2375,2514
3210,2578,3324
3211,3533,2778
3212,2319,2586
3213,2005,2838
3214,3336,2838
